time,x,y,dx,dy,handle,accel,brake,speed,focus,focus_x,focus_y,comment
1600055103.769,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,7,663.0,1032.0,AgentPlugin
1600055104.267,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,4,1000.0,578.0,AgentPlugin
1600055104.771,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1062.0,65.0,AgentPlugin
1600055105.27,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1095.0,59.0,AgentPlugin
1600055105.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1101.0,58.0,AgentPlugin
1600055106.267,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1061.0,299.0,AgentPlugin
1600055106.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1093.0,269.0,AgentPlugin
1600055107.266,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1088.0,265.0,AgentPlugin
1600055107.767,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,1,1071.0,265.0,AgentPlugin
1600055108.268,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,2,1403.0,279.0,AgentPlugin
1600055108.768,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1390.0,426.0,AgentPlugin
1600055109.269,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1510.0,441.0,AgentPlugin
1600055109.768,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1518.0,438.0,AgentPlugin
1600055110.269,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1519.0,432.0,AgentPlugin
1600055110.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,441.0,AgentPlugin
1600055111.268,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1383.0,421.0,AgentPlugin
1600055111.767,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1376.0,437.0,AgentPlugin
1600055112.267,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1378.0,429.0,AgentPlugin
1600055112.769,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1318.0,406.0,AgentPlugin
1600055113.266,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1329.0,654.0,AgentPlugin
1600055113.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1324.0,695.0,AgentPlugin
1600055114.266,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1301.0,666.0,AgentPlugin
1600055114.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1403.0,445.0,AgentPlugin
1600055115.271,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055115.768,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055116.267,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055116.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055117.267,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055117.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055118.266,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055118.767,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055119.267,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
1600055119.766,8080.23,3549.84,1.0,0.01,0.0,0.0,0.0,18.1,5,1391.0,536.0,AgentPlugin
