time,x,y,dx,dy,handle,accel,brake,speed,focus,focus_x,focus_y,comment
1600055822.637,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,7,909.0,800.0,AgentPlugin
1600055823.127,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,4,938.0,594.0,AgentPlugin
1600055823.627,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,4,1163.0,498.0,AgentPlugin
1600055824.126,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,1,1063.0,152.0,AgentPlugin
1600055824.628,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,1,1098.0,114.0,AgentPlugin
1600055825.127,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,1,1106.0,117.0,AgentPlugin
1600055825.626,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,1,1104.0,312.0,AgentPlugin
1600055826.126,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1326.0,729.0,AgentPlugin
1600055826.626,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1326.0,729.0,AgentPlugin
1600055827.127,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1326.0,729.0,AgentPlugin
1600055827.624,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1326.0,729.0,AgentPlugin
1600055828.125,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1384.0,485.0,AgentPlugin
1600055828.626,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1380.0,489.0,AgentPlugin
1600055829.127,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,1,1101.0,335.0,AgentPlugin
1600055829.625,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,1,1089.0,329.0,AgentPlugin
1600055830.125,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1387.0,474.0,AgentPlugin
1600055830.626,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1385.0,481.0,AgentPlugin
1600055831.126,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1381.0,486.0,AgentPlugin
1600055831.634,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1378.0,484.0,AgentPlugin
1600055832.125,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,-1,1291.0,2166.0,AgentPlugin
1600055832.624,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1337.0,573.0,AgentPlugin
1600055833.124,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1371.0,485.0,AgentPlugin
1600055833.626,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1401.0,708.0,AgentPlugin
1600055834.129,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1348.0,726.0,AgentPlugin
1600055834.626,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1347.0,723.0,AgentPlugin
1600055835.125,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1382.0,556.0,AgentPlugin
1600055835.625,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,8,1290.0,863.0,AgentPlugin
1600055836.127,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1343.0,715.0,AgentPlugin
1600055836.625,8079.39,3546.22,1.0,-0.01,0.0,0.0,0.0,37.96,5,1342.0,718.0,AgentPlugin
1600055837.311,6603.97,3547.01,1.0,0.0,0.0,0.0,0.84,0.53,8,1332.0,802.0,AgentPlugin
1600055837.815,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,1018.0,1785.0,AgentPlugin
1600055838.322,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,971.0,2181.0,AgentPlugin
1600055838.819,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,971.0,2181.0,AgentPlugin
1600055839.32,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,7,989.0,932.0,AgentPlugin
1600055839.811,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,8,1616.0,872.0,AgentPlugin
1600055840.312,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,8,1641.0,874.0,AgentPlugin
1600055840.82,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,2128.0,2339.0,AgentPlugin
1600055841.313,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,2128.0,2339.0,AgentPlugin
1600055841.825,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,2184.0,2249.0,AgentPlugin
1600055842.316,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,7,1028.0,897.0,AgentPlugin
1600055842.813,6603.97,3547.01,1.0,0.0,0.0,0.0,1.0,0.0,-1,712.0,2087.0,AgentPlugin
1600055843.312,6603.97,3547.01,1.0,0.0,0.0,0.0,0.77,0.0,-1,939.0,1131.0,AgentPlugin
1600055843.815,6603.97,3547.01,1.0,0.0,0.0,0.0,0.62,0.0,-1,1216.0,1645.0,AgentPlugin
1600055844.319,6604.0,3547.01,1.0,0.0,0.0,0.0,0.63,0.14,-1,1216.0,1645.0,AgentPlugin
1600055844.815,6604.0,3547.01,1.0,0.0,0.01,0.0,0.63,0.0,8,1701.0,977.0,AgentPlugin
1600055845.314,6604.0,3547.01,1.0,0.0,0.01,0.0,0.52,0.0,8,1583.0,996.0,AgentPlugin
1600055845.821,6604.02,3547.01,1.0,0.0,0.01,0.0,0.67,0.0,-1,1504.0,1083.0,AgentPlugin
1600055846.318,6604.02,3547.01,1.0,0.0,0.01,0.0,1.0,0.0,4,1138.0,636.0,AgentPlugin
1600055846.811,6604.02,3547.01,1.0,0.0,0.01,0.0,0.79,0.0,4,1129.0,637.0,AgentPlugin
1600055847.325,6604.02,3547.01,1.0,0.0,0.01,0.0,0.62,0.0,4,1129.0,637.0,AgentPlugin
1600055847.818,6604.07,3547.01,1.0,0.0,0.0,0.0,0.0,1.04,4,1129.0,637.0,AgentPlugin
1600055848.312,6604.31,3547.01,1.0,0.0,0.0,0.0,0.0,2.45,4,1129.0,637.0,AgentPlugin
1600055848.82,6604.76,3547.01,1.0,0.0,0.01,0.0,0.0,3.84,8,1425.0,824.0,AgentPlugin
1600055849.32,6605.38,3547.01,1.0,0.0,0.01,0.09,0.0,5.16,4,850.0,602.0,AgentPlugin
1600055849.816,6606.19,3547.02,1.0,0.0,0.0,0.18,0.0,6.48,4,961.0,557.0,AgentPlugin
1600055850.313,6607.17,3547.02,1.0,0.0,0.0,0.25,0.0,7.91,4,792.0,639.0,AgentPlugin
1600055850.811,6608.39,3547.03,1.0,0.01,0.0,0.25,0.0,9.52,4,940.0,552.0,AgentPlugin
1600055851.312,6609.82,3547.04,1.0,0.01,0.0,0.26,0.0,11.12,4,908.0,578.0,AgentPlugin
1600055851.811,6611.47,3547.05,1.0,0.01,0.0,0.31,0.0,12.68,8,1686.0,917.0,AgentPlugin
1600055852.312,6613.35,3547.06,1.0,0.01,0.0,0.36,0.0,14.39,8,1679.0,950.0,AgentPlugin
1600055852.813,6615.49,3547.08,1.0,0.01,0.0,0.37,0.0,16.34,4,931.0,548.0,AgentPlugin
1600055853.329,6617.92,3547.11,1.0,0.01,0.0,0.37,0.0,18.24,4,870.0,551.0,AgentPlugin
1600055853.835,6620.65,3547.14,1.0,0.01,0.0,0.37,0.0,20.08,4,930.0,557.0,AgentPlugin
1600055854.339,6623.6,3547.17,1.0,0.01,0.0,0.37,0.0,21.85,4,947.0,542.0,AgentPlugin
1600055854.827,6626.65,3547.2,1.0,0.01,0.0,0.37,0.0,23.5,4,926.0,536.0,AgentPlugin
1600055855.329,6630.08,3547.23,1.0,0.01,0.0,0.37,0.0,25.19,4,839.0,624.0,AgentPlugin
1600055855.838,6633.76,3547.27,1.0,0.01,0.0,0.37,0.0,26.85,4,968.0,540.0,AgentPlugin
1600055856.334,6637.56,3547.31,1.0,0.01,0.0,0.37,0.0,28.43,8,1677.0,920.0,AgentPlugin
1600055856.833,6641.61,3547.35,1.0,0.01,0.0,0.34,0.0,29.98,8,1666.0,909.0,AgentPlugin
1600055857.34,6645.92,3547.4,1.0,0.01,0.0,0.2,0.0,31.12,8,1668.0,913.0,AgentPlugin
1600055857.838,6650.29,3547.44,1.0,0.01,0.0,0.2,0.0,31.75,8,1650.0,928.0,AgentPlugin
1600055858.33,6654.64,3547.49,1.0,0.01,0.0,0.2,0.0,32.35,4,924.0,552.0,AgentPlugin
1600055858.833,6659.22,3547.53,1.0,0.01,0.0,0.2,0.0,32.97,8,1653.0,919.0,AgentPlugin
1600055859.334,6663.85,3547.58,1.0,0.01,0.0,0.2,0.0,33.57,8,1654.0,915.0,AgentPlugin
